"p","lam1","lam2","kurt"
0.5224257959830414,4.400407421052636-4.169709152118089*^-14*I,0.20055374994186692+1.061650767297806*^-15*I,20
0.5592979764647328,9.524689889401023+5.986357168854543*^-14*I,0.18052094748948203-7.112366251504909*^-16*I,20
0.4608026677040775,2.687599014562098+2.2017593600632627*^-14*I,0.23155977871200137-8.743006318923108*^-16*I,20
0.5197831147699139,4.258761307394252-5.2028101222737175*^-14*I,0.20194577124918472+1.366962099069724*^-15*I,20
0.4735684515938481,2.883146301973938-8.696169568195884*^-14*I,0.22538048198088445+3.2612801348363973*^-15*I,20
0.58210610697282,101.39299477320375-3.521237410062424*^-13*I,0.16754230726368327+3.920475055707584*^-16*I,20
0.5766024895455737,29.012834679478434-2.2619806396459303*^-13*I,0.17071613247451334+8.81239525796218*^-16*I,20
0.42184354146756453,2.288748575355212+1.0728473883828304*^-13*I,0.2496693973191017-4.763550665032312*^-15*I,20
0.42426790824971494,2.307494779907112-9.634524394354646*^-13*I,0.2485745143283402+4.2577052994374753*^-14*I,20
0.47000945052439036,2.824078971475215+7.256526449623671*^-14*I,0.22711570152689198-2.768618667658984*^-15*I,20
0.48547919493273106,3.11273181809618-6.125884967143168*^-15*I,0.21950224483639108+2.1510571102112408*^-16*I,20
0.5672988984064562,13.586721214210016-1.2538741499636675*^-13*I,0.17602025504023572+1.0443035325380379*^-15*I,20
0.42660501336820533,2.3261691803305062+2.96924028745076*^-13*I,0.24751508800987077-1.3058998327153404*^-14*I,20
0.453775123854981,2.5968924918597973-1.4609225798213605*^-13*I,0.23490893282585623+5.9570404165043556*^-15*I,20
0.47286065047826686,2.8710889760656735-2.147995605093272*^-14*I,0.22572634943652967+8.083811398051921*^-16*I,20
0.5298886308259863,4.875229727301069+2.2270192169647084*^-14*I,0.1965915609502782-5.134781488891349*^-16*I,20
0.5801256575287692,53.05742149636313+2.786975552688868*^-13*I,0.16868750332559235-5.93275428784068*^-16*I,20
0.49623657241093544,3.3747908056458433-6.754622011532073*^-14*I,0.21409794163772572+2.2065682614424986*^-15*I,20
0.4513675046519183,2.5681278566955226-9.06217999279787*^-14*I,0.23604786267885025+3.726186026398182*^-15*I,20
0.4187696221265189,2.2658541209901912+5.180828495372202*^-12*I,0.2510516523299089-2.313288449684592*^-13*I,20
0.4301841157134014,2.3559742765060765-6.633854681904484*^-13*I,0.24588510065821434+2.8949065367100957*^-14*I,20
0.46467330695789255,2.74231941425504-4.705551004831018*^-15*I,0.22969926746398353+1.8388068845354155*^-16*I,20
0.42280834668426936,2.296134262385276-5.851673363718408*^-13*I,0.2492341748443943+2.5934115965853266*^-14*I,20
0.4570573528073274,2.6379515006609764+2.4972179022825714*^-14*I,0.23334930716691532-1.0061396160665481*^-15*I,20
0.49768130781289344,3.4150355198772413+1.1594478374846156*^-14*I,0.21336516344867645-3.7470027081099033*^-16*I,20
0.4314379507672319,2.3667764788809182-1.797200983375434*^-13*I,0.24531191113283266+7.820133429703446*^-15*I,20
0.4892322844466599,3.1972967739662708-2.8935105535224137*^-14*I,0.21762711473628868+9.922618282587337*^-16*I,20
0.5396757270271784,5.740106453873329+9.429053667653128*^-14*I,0.1913249363112714-1.85268467234323*^-15*I,20
0.5531533987599018,7.8251440888675345-5.520913634483702*^-15*I,0.18393966160586067+7.979727989493313*^-17*I,20
0.4466046080867001,2.5143467963709414+2.999178452286073*^-14*I,0.23828830416535862-1.2524703496552547*^-15*I,20
0.4755471739304338,2.91771204846024-6.326216263765156*^-14*I,0.22441153529791616+2.348815586472597*^-15*I,20
0.44259686605940596,2.472058554805772+8.454790713248506*^-15*I,0.24016057390020595-3.5735303605122226*^-16*I,20
0.4161045354931141,2.2467593632666505-1.735583061659657*^-10*I,0.2522446830359871+7.784842215308174*^-12*I,20
0.4539694449761389,2.5992629038102373+3.916646735162472*^-15*I,0.23481682064941875-1.5959455978986625*^-16*I,20
0.45937015528945735,2.6682423817070178-2.25881331865094*^-15*I,0.2322454840161978+9.020562075079397*^-17*I,20
0.5279271137344352,4.738176296457698+1.7563391350255042*^-14*I,0.19763745231873864-4.163336342344337*^-16*I,20
0.4282136083861654,2.3393798033445883+3.7599653772652576*^-14*I,0.24678363839750636-1.6479873021779667*^-15*I,20
0.5625797797392962,10.827727683110368+1.90200483608786*^-13*I,0.17868161570485083-1.987993103469421*^-15*I,20
0.5365742164668907,5.4274627282378125-5.715332140373861*^-14*I,0.19300262619834033+1.186550857568136*^-15*I,20
0.5515535747815217,7.487567758641639+9.373161368613495*^-14*I,0.18482442792618228-1.4155343563970746*^-15*I,20
0.44608966805401207,2.508767239885477-8.651385673816922*^-14*I,0.23852952604446215+3.6186331708876196*^-15*I,20
0.45126944645340217,2.5669795609785138+8.046967750808536*^-14*I,0.23609415805013326-3.309852392163748*^-15*I,20
0.4569448994371601,2.6365080348502152+6.88597157354077*^-15*I,0.2334028751644719-2.7755575615628914*^-16*I,20
0.5543783522093642,8.10809611489953-5.769454011804919*^-14*I,0.18326072494680146+8.049116928532385*^-16*I,20
0.5626811676742716,10.874303769415508-5.333851309414458*^-15*I,0.1786246421654306+5.551115123125783*^-17*I,20
0.46887709803369004,2.806074492010422+1.4292171506994358*^-14*I,0.22766575749480145-5.48172618408671*^-16*I,20
0.5792808231594062,44.1792268112931+2.618671373717945*^-13*I,0.1691749638774382-6.696032617270475*^-16*I,20
0.42915587410484535,2.347257577673726+6.168815346410337*^-13*I,0.24635431865522542-2.6981888945343258*^-14*I,20
0.5466314650385602,6.629272264223838+8.509482698042791*^-14*I,0.18753278810210997-1.4502288259166107*^-15*I,20
0.469182865725988,2.8109001079660105+9.420784922230761*^-15*I,0.22751732302842717-3.608224830031759*^-16*I,20
0.5744508912918593,22.839213759662062+2.4387353185237143*^-13*I,0.17194959087593456-1.2073675392798577*^-15*I,20
0.576113722644765,27.323506283195123+2.5913189701387285*^-13*I,0.17099669100779338-1.0720591081536668*^-15*I,20
0.49537127627025956,3.351323020308391+1.1503302320882641*^-14*I,0.21453603069389426-3.7816971776294395*^-16*I,20
0.5106781201563539,3.84917421755881-6.237743949504763*^-15*I,0.20669797574796528+1.8041124150158794*^-16*I,20
0.49515648432602277,3.3455693589677438-1.127467991733658*^-14*I,0.21464468521770474+3.712308238590367*^-16*I,20
0.5324666505612448,5.071221079844077+3.236829781534984*^-14*I,0.1952120686172718-7.181755190543981*^-16*I,20
0.5422488883589938,6.034638315375782+4.48919785718575*^-14*I,0.1899268778579082-8.396061623727746*^-16*I,20
0.4400647448653807,2.4466308407311668-2.297485344190775*^-13*I,0.24133742302958194+9.780370957557238*^-15*I,20
0.45613053541886117,2.626133936093891-1.029770511717962*^-15*I,0.23379052106930448+4.163336342344337*^-17*I,20
0.5264411855492555,4.640572764991704-7.18623883928927*^-14*I,0.1984276277196515+1.7381929229287607*^-15*I,20
0.5379111721002483,5.557085640769403+2.189234345231494*^-14*I,0.19228042553493827-4.440892098500626*^-16*I,20
0.47107939368690466,2.8414333770080376+6.7632783570026*^-15*I,0.22659506175948532-2.5673907444456745*^-16*I,20
0.5753297757777465,25.00088391173423+4.603340211195744*^-14*I,0.17144624395643387-2.0816681711721685*^-16*I,20
0.44879875887540255,2.5386255935237485-6.433562089220118*^-14*I,0.23725827063870453+2.6680047060523293*^-15*I,20
0.5838668729629113,572.3721781341436+2.7279370854141778*^-12*I,0.1665211969619491-5.377642775528102*^-16*I,20
0.47225250635593863,2.8608547607568218+1.8474801524399997*^-14*I,0.226023212419369-6.973588373426765*^-16*I,20
0.47907277318804087,2.9826167240331407+5.1414017002447187*^-14*I,0.22267762858967133-1.8735013540549517*^-15*I,20
0.5756267959746926,25.831137590778575+6.024842251123382*^-14*I,0.17127598239325464-2.636779683484747*^-16*I,20
0.5388836874334506,5.656189471772027+4.733695263269393*^-14*I,0.1917541430035687-9.43689570931383*^-16*I,20
0.5735710684843471,21.031897686545573-8.001049137663466*^-14*I,0.1724527900316327+4.3021142204224816*^-16*I,20
0.500477659910604,3.4969336368267037+5.704907872101755*^-14*I,0.2119421137439088-1.8041124150158794*^-15*I,20
0.5288812036777255,4.803621185685374-9.270277810582443*^-14*I,0.19712912647942998+2.168404344971009*^-15*I,20
0.5818611938959819,91.05909002166602-7.303724658201175*^-13*I,0.16768411834025415+9.055256544598933*^-16*I,20
0.43192533241334274,2.3710276646099864+3.759747817475188*^-14*I,0.2450888002015658-1.6341095143701523*^-15*I,20
0.5434203955136483,6.181062414980041-1.4474135682033194*^-13*I,0.1892885122023892+2.643718577388654*^-15*I,20
0.5256063890683493,4.587919643137299-3.2202818240404163*^-14*I,0.1988707456182094+7.875644580934704*^-16*I,20
0.5777494531086007,33.97582133023725-4.3497921591673584*^-13*I,0.17005692717834553+1.4467593789646571*^-15*I,20
0.44810367581255695,2.530844638662754+4.515953329564464*^-14*I,0.23758495854635883-1.8769708010069053*^-15*I,20
0.5829648618062657,168.9278310238778+1.3968984426451233*^-12*I,0.1670446416903289-9.332812300755222*^-16*I,20
0.4854044258501964,3.111113694124011-4.562690141689562*^-14*I,0.21953948909740312+1.6028844918025698*^-15*I,20
0.5254104225292082,4.575777094610017-2.4762423104327498*^-14*I,0.19897468281697336+6.071532165918825*^-16*I,20
0.4475466040284999,2.5246690715118407+1.6923536115709827*^-13*I,0.23784652384373728-7.0464467594177904*^-15*I,20
0.4967033099823315,3.3876448594451625+1.7158119278322772*^-14*I,0.21386139110836289-5.585809592645319*^-16*I,20
0.5542788054674506,8.084237273763272-1.9092483755992667*^-14*I,0.18331594749048347+2.671474153004283*^-16*I,20
0.5562584222209013,8.590609063112181+8.140097205492148*^-14*I,0.1822161697780742-1.0720591081536668*^-15*I,20
0.487580360947538,3.159249967084523-1.4014551785533955*^-14*I,0.21845381475135994+4.85722573273506*^-16*I,20
0.500297168653578,3.4914804756965285+2.5744875763447725*^-14*I,0.2120341532733419-8.153200337090993*^-16*I,20
0.4408782022734159,2.4546949309006356+9.532587687941385*^-14*I,0.24095986444201467-4.048844592929868*^-15*I,20
0.4816084586689173,3.0321285364091364-6.557161686968353*^-14*I,0.22142461761065402+2.355754480376504*^-15*I,20
0.5684375710615732,14.499259395454883+2.6230278493599744*^-14*I,0.1753751765804949-2.0469737016526324*^-16*I,20
0.4723850345433127,2.8630752465539033-5.132142664782102*^-14*I,0.22595854351218325+1.9359513991901167*^-15*I,20
0.5032430501544478,3.583563175031373+5.711619389967315*^-14*I,0.2105286735115368-1.7659484985443896*^-15*I,20
0.4532263538139838,2.590238260207287-7.167350206646359*^-14*I,0.23516890915326027+2.9282132274488504*^-15*I,20
0.42683614668646097,2.3280491647445163+3.1340592567450055*^-13*I,0.24741010223758111-1.3777173846207802*^-14*I,20
0.5590779906278878,9.449506084955017-6.895229388616694*^-14*I,0.18064390687343032+8.257283745649602*^-16*I,20
0.4691883134808448,2.8109863247834994+4.710511159140589*^-14*I,0.2275146777773487-1.8041124150158794*^-15*I,20
0.46563077741650805,2.756428557998126+7.568988300015928*^-14*I,0.22923728866386783-2.9455604622086184*^-15*I,20
0.4396034229878856,2.442100748742692-1.4423512993700708*^-13*I,0.24155132685425246+6.147859998861804*^-15*I,20
0.5622825427333429,10.69366129949885+2.0653211575770372*^-14*I,0.17884859227170125-2.185751579730777*^-16*I,20
0.4863336229601629,3.1314022807127233-3.446586345937298*^-14*I,0.21907632337134586+1.2038980923279041*^-15*I,20
0.44798189347899076,2.5294900211553437-4.305589960693309*^-14*I,0.23764215930811355+1.790234627208065*^-15*I,20
0.4315729655560283,2.367951191393007-1.7738388828440304*^-13*I,0.24525012189761394+7.716050021144838*^-15*I,20
0.425008022587666,2.3133433320458945-5.0162951063031*^-14*I,0.24823943575658972+2.213507155346406*^-15*I,20
0.5451102842863174,6.407755158561117-9.251383039989778*^-14*I,0.1883656216790674+1.6306400674181987*^-15*I,20
0.5223080977974845,4.393840083915089+6.966749875595527*^-14*I,0.20061586937088466-1.7763568394002505*^-15*I,20
0.4307133488137238,2.360510370819542-1.7734990952161486*^-13*I,0.24564329991226724+7.729927808952652*^-15*I,20
0.5350570868249713,5.288931768680357-8.635373318974599*^-15*I,0.19382033263008835+1.8388068845354155*^-16*I,20
0.5199198751941931,4.265804221860394+4.801045962409837*^-14*I,0.20187387425842498-1.259409243559162*^-15*I,20
0.49518265665826466,3.3462689324068613-5.3854689567086376*^-14*I,0.2146314476554122+1.7728873924482969*^-15*I,20
0.484507632854293,3.0918987862700305+1.0902977417374171*^-13*I,0.2199858625910686-3.851086116668512*^-15*I,20
0.5154974788989182,4.052351096075647+4.3070455454846697*^-14*I,0.204191021996244-1.186550857568136*^-15*I,20
0.4518102299251696,2.5733346390229945+5.205527556931127*^-14*I,0.23583875375442714-2.1371793224034263*^-15*I,20
0.5249140782391357,4.545383167351486+1.0431859249680706*^-13*I,0.1992377927946567-2.5743296383495817*^-15*I,20
0.43361954566934036,2.3860379226248583-6.115358728950702*^-14*I,0.24431190214675697+2.6471880243406076*^-15*I,20
0.4201130392312338,2.2757424773399038-2.1772962384364212*^-12*I,0.25044837561619027+9.698492009491133*^-14*I,20
0.5520697930796816,7.59282119617009-6.312852872906515*^-14*I,0.1845391790698585+9.402201239794294*^-16*I,20
0.5713975634938013,17.628528710080886+2.865609404186038*^-14*I,0.17369295450695132-1.8388068845354155*^-16*I,20
0.5101967216334962,3.830344585561683+2.3642112770050415*^-14*I,0.20694735450933843-6.869504964868156*^-16*I,20
0.4280106330070166,2.337696433528856+2.0405637225676033*^-13*I,0.24687603590331814-8.947703689088371*^-15*I,20
0.4257616632081176,2.3193606088542795-3.547540783685816*^-13*I,0.24789783298721446+1.5629858518551032*^-14*I,20
0.5616151508922436,10.405478629356388-1.94588191922943*^-14*I,0.1792232274878744+2.1163626406917047*^-16*I,20
0.4375422581110957,2.4222336098687043-1.4109267732258764*^-13*I,0.2425051473706119+6.0472460372551495*^-15*I,20
0.5824176819276135,118.54877158842343-1.916586059704403*^-12*I,0.1673618196560684+1.824929096727601*^-15*I,20
0.43577950472265803,2.405712963325275-2.2175711839243054*^-13*I,0.24331842846020668+9.547918011776346*^-15*I,20
0.42654940228258487,2.3257177552496935+3.994281563204687*^-13*I,0.24754034208652886-1.7569279364693102*^-14*I,20
0.47249279204980876,2.864884707732561+5.4385206640339034*^-14*I,0.2259059518654622-2.050443148604586*^-15*I,20
0.45938795798011856,2.6684800940363966+1.694227906019622*^-14*I,0.2322369718161156-6.765421556309548*^-16*I,20
0.41905560706593636,2.267944118746004-5.8058400457062596*^-12*I,0.25092333406144157+2.591052372657998*^-13*I,20
0.44793150765425915,2.5289303155751925+1.769512903563681*^-13*I,0.23766582216236265-7.358696985093616*^-15*I,20
0.5224365858803379,4.401010736006724-1.471856204347874*^-14*I,0.20054805461575925+3.7470027081099033*^-16*I,20
0.5218248489271107,4.367136851294374-3.0166102571117247*^-14*I,0.20087080153088394+7.73686670285656*^-16*I,20
0.5767082060176687,29.407055242910637-1.390099546621784*^-13*I,0.1706554219470437+5.342948306008566*^-16*I,20
0.5126488012582597,3.9289211162418467+8.181793688726529*^-14*I,0.20567514302394285-2.321060010856968*^-15*I,20
0.5363793492338798,5.409176050027456-8.011653777710443*^-14*I,0.19310776453521855+1.6688039838896884*^-15*I,20
0.5429909057555478,6.12641376970004-8.604844519117816*^-14*I,0.18952268057372373+1.5855372570428017*^-15*I,20
0.5120154798867225,3.902813895934975-1.4705287577200078*^-14*I,0.20600419669751746+4.198030811863873*^-16*I,20
0.48676423979250205,3.140938540651314+5.985457083380512*^-14*I,0.21886144980799976-2.085137618124122*^-15*I,20
0.49025372618196217,3.2215046882943272-2.5157762644424243*^-14*I,0.21711486417781972+8.569533971325427*^-16*I,20
0.5680131570820224,14.144158885906354+6.852142036803041*^-14*I,0.1756157477660245-5.48172618408671*^-16*I,20
0.579493919161737,46.12068414590245+5.949379939271071*^-14*I,0.1690520697442281-1.457167719820518*^-16*I,20
0.5619298476208894,10.539216976509305+1.9385722710036747*^-15*I,0.17904662325845944-2.0816681711721685*^-17*I,20
0.543826720707477,6.233835026176908-3.601182076613138*^-14*I,0.1890668295184735+6.522560269672795*^-16*I,20
0.5220981104840934,4.382185335226265+1.0179161368948709*^-14*I,0.20072666931827327-2.6020852139652106*^-16*I,20
0.5240913782445233,4.496115208542133-6.079525054656435*^-14*I,0.19967345350337046+1.5161483180037294*^-15*I,20
0.4751227935929372,2.910189964424749+3.412636303156496*^-14*I,0.2246196009052682-1.2698175844150228*^-15*I,20
0.43537562048858547,2.4019870897256888+1.5954718814055256*^-13*I,0.2435044514659081-6.876443858772063*^-15*I,20
0.42260593146819714,2.294576658860428-1.985662005008598*^-12*I,0.24932553874523924+8.803721640582296*^-14*I,20
0.5249621560367337,4.548304859711723-1.842887064732878*^-14*I,0.19921231588183608+4.544975507059235*^-16*I,20
0.4603656187811307,2.681643936612676+4.012078589811024*^-15*I,0.23176914600544518-1.5959455978986625*^-16*I,20
0.4883399204218948,3.1765780195517834+6.930630301721655*^-14*I,0.2180739616920333-2.39044894989604*^-15*I,20
0.4928745485188373,3.286139921275006+3.110430255999558*^-16*I,0.21579676674255405-1.0408340855860843*^-17*I,20
0.5214626645081786,4.347394494045527+9.428040397783108*^-14*I,0.20106174140962169-2.42861286636753*^-15*I,20
0.41504266033876336,0.4568302401280963-0.32211375597791114*I,0.29396652773869414+0.06643969967900262*I,30
0.31148074028547046,0.39233519497174424+0.3471893939320144*I,0.3232014910676903-0.06197548497530403*I,30
0.23529604094752443,0.3364318249651275+0.36131911115180493*I,0.3427394192242419-0.05495956858871106*I,30
0.529916226376107,0.5312293687680004-0.28730152969876765*I,0.2570134619771196+0.06207438205895231*I,30
0.6815214794125655,0.7935320083626244,0.19405762306693955,30
0.6761652111157739,0.7419059493268395-0.09167217244731322*I,0.20114027238470666+0.013923960998505075*I,30
0.562491140446149,0.5576953089730438+0.2740596268602102*I,0.2455109350641403-0.05808024035106829*I,30
0.7522345895266556,3.860255293036185,0.10748419329759656,30
0.5557446952449026,0.5518337769758859-0.2770524836258211*I,0.24793386001316592+0.059046305848013916*I,30
0.3885525669908869,0.44087791840325885+0.3289739310970951*I,0.3017769121856363-0.06591759173034838*I,30
0.3122025868169651,0.39281709538103965+0.34703283714566074*I,0.3230091125509628-0.0620276854132263*I,30
0.44580761995955065,0.4754415631118429+0.3137485084652918*I,0.2845801350832852-0.06642393139492142*I,30
0.4445497154234641,0.4746732357834751-0.31409998817061985*I,0.2849708299200497+0.06643874224951676*I,30
0.6346155876623165,0.6441947235489586-0.22067192173865993*I,0.21817991349436142+0.0407178433807682*I,30
0.7066867906286229,1.1804660190730247,0.1542658190249695,30
0.6936716178145805,0.9877636149796362,0.1703968316557841,30
0.5122266851652386,0.5184030680053631-0.29352627606951115*I,0.2630581115773904+0.06361711498155989*I,30
0.3767428235132795,0.4337112293070908+0.3319381984759779*I,0.3051817009272583-0.06553849536109746*I,30
0.5442829310813861,0.5423656400082938+0.2818081228598297*I,0.2520010493767613-0.060514044853623446*I,30
0.5925167048369677,0.5872051153308089+0.2581874530690159*I,0.2344585250465245-0.052688470347009006*I,30
0.6729989830043317,0.7317435273002829+0.1152654307317895*I,0.20247497109492435-0.017861221209761764*I,30
0.47935545991262263,0.4964010251722054+0.3040064549697378*I,0.27393358717833555-0.06553513524699674*I,30
0.7113117177043322,1.262325403914199,0.14907681955260602,30
0.241347076330668,0.341320184785522+0.36042242141590547*I,0.3412389479143445-0.05562498183318783*I,30
0.3602870113221872,0.42361098299308286+0.3359714569739284*I,0.309849649043344-0.0648685652558251*I,30
0.2554653836396843,0.352377616672734+0.3581450899088615*I,0.3377058773523456-0.05710480596243009*I,30
0.6977575324355592,1.0443728406769361,0.16498955688401945,30
0.4701881825515106,0.49056362772903345-0.3067464260064966*I,0.27688702753640676+0.06587676256241516*I,30
0.6248563628722568,0.6286069131340527-0.23219890961292664*I,0.2220385472913235+0.04413917070228075*I,30
0.5252565509408211,0.5277654989891158+0.2889922054119706*I,0.25861914252983004-0.06251927801188556*I,30
0.28576689836447144,0.37467307831200963+0.35253870941115967*I,0.3299610197976884-0.05993903431789671*I,30
0.4018061072370285,0.44887021724385673+0.3255786307004577*I,0.2978996990746773-0.06623725189018509*I,30
0.598178731218125,0.59357113749297+0.25453078200466583*I,0.23232363901940656-0.051434329858903415*I,30
0.3674895735032231,0.42805121722975087+0.33422027887801736*I,0.3078172952928799-0.06518166388129204*I,30
0.40087469381817353,0.44830965459369276-0.32581963036002054*I,0.29817415077793386+0.06621854435309589*I,30
0.5234085153235646,0.5264096338021154-0.2896519411578617*I,0.259253277567426+0.06268787922348969*I,30
0.4070549054070185,0.45202744338905465-0.32421367466594664*I,0.2963474264837095+0.06633181653226608*I,30
0.4623290937705773,0.4856332910089338-0.30904565258079647*I,0.2793922755104508+0.06610880067994626*I,30
0.42480827572373303,0.4627087864739858-0.31950792711821235*I,0.29102469793569563+0.06651071639135243*I,30
0.46113461895284025,0.48488917469983556+0.3093913858631698*I,0.27977090474393684-0.06613930964490851*I,30
0.3322610981406533,0.405949698844175+0.34256191596931435*I,0.31760359162019014-0.06336725220935463*I,30
0.45677697492756586,0.4821850327900288+0.31064479985443744*I,0.2811474744158005-0.06624021342458633*I,30
0.2375852157372551,0.33829218346195417+0.36098590404652386*I,0.3421727230604845-0.05521351136204087*I,30
0.41568746212505836,0.4572180283480285+0.3219430249578898*I,0.2937733433367408-0.06644647759121683*I,30
0.5462116630176763,0.5439194181151442+0.28103363724676217*I,0.25132092912657067-0.060281576876629744*I,30
0.47923280698152704,0.4963222347167292+0.3040435583664452*I,0.27397332660570045-0.06554022632388512*I,30
0.7444380577389771,2.664462162070161,0.11508664099269078,30
0.3102235840381553,0.39149425653845904+0.34746128287167266*I,0.32353618462779843-0.06188391903852554*I,30
0.6438214490976744,0.6607806966979352+0.20694039090347274*I,0.2144912407214277-0.03695903666148413*I,30
0.5235835364016004,0.5265376217837002+0.2895897124095856*I,0.2591932858216801-0.0626720995012063*I,30
0.5073489411893146,0.5150066621077403-0.2951594748547827*I,0.2647008022052476+0.06397566282910505*I,30
0.4378529345186126,0.4705969212840401+0.3159567540085565*I,0.28704072823350535-0.06649656368079872*I,30
0.6335504527730256,0.6424014911983318+0.22206012579900103*I,0.21860361974459677-0.041116665154052594*I,30
0.6521269835990606,0.677693202402757-0.1909560377917195*I,0.2111217811298259+0.032970727963207054*I,30
0.6491424699231263,0.671376389151315+0.19719490961641942*I,0.21233715063442463-0.03448192534552474*I,30
0.23395754182469286,0.3353377120803505+0.3615104392201208*I,0.3430702416198077-0.054809837326076465*I,30
0.7142329219413281,1.319781485612439,0.14588699734020943,30
0.5592128994278147,0.5548181273231193-0.2755338351252298*I,0.24669099317234916+0.058559591529739066*I,30
0.5469924848262813,0.5445527728731914-0.28071731052825677*I,0.2510451009401561+0.060185839518762455*I,30
0.3504030512872742,0.41745873486581286-0.33833754831657115*I,0.3126118742893736+0.06438975681031195*I,30
0.5040566642849658,0.5127438760966655+0.2962443636015039*I,0.26580376850015724-0.06420231224068333*I,30
0.5552252226961356,0.5513918414726734+0.2772765100892927*I,0.24811952751546124-0.05911744265655189*I,30
0.4889388748151715,0.5026226271551805-0.30106675237623237*I,0.27080954824652215+0.06509212233303636*I,30
0.6331978994769769,0.6418132227498956-0.22251178703495947*I,0.21874372441366785+0.041247196062274734*I,30
0.6195018744004588,0.6207795518680704+0.23757034756140122*I,0.22413339985838396-0.04581874581031468*I,30
0.47699501253747156,0.49488814131350123+0.30471832670635063*I,0.2746972980166826-0.0656306034449739*I,30
0.2855129096527518,0.37449337894423185+0.35258913067466346*I,0.3300269032405882-0.05991721938831136*I,30
0.5572792087980545,0.5531468714578266-0.27638555470128673*I,0.24738465530892131+0.05883350203157989*I,30
0.4623961865617441,0.48567512597970325-0.3090262048112837*I,0.279370991558541+0.06610705028326946*I,30
0.546829960449384,0.5444207346497957+0.280783287118155*I,0.25110253660997983-0.060205844608887504*I,30
0.5634226820231492,0.5585232992340539+0.2736334463873759*I,0.2451746722672608-0.057940516899665916*I,30
0.6935674772966638,0.9863414144103162,0.17054080314849673,30
0.36535762798053995,0.42674033942470635-0.33474094591548964*I,0.30842059966064356+0.06509217610098396*I,30
0.38306098675559963,0.437552136180467-0.3303594897209267*I,0.3033659417790025+0.0657521302208545*I,30
0.7655804792606711,34.195089889851296,0.09461512872481842,30
0.5401040909286492,0.5390494964230285-0.28345406289278063*I,0.2534687262282278+0.06099849919715992*I,30
0.7557972434305023,4.950626686019159,0.10403413357654338,30
0.5538040052271049,0.5501893022224817-0.2778850190905882*I,0.2486268413774964+0.0593097573767277*I,30
0.24254857003665542,0.34227979560029503+0.3602384062673893*I,0.3409400472687809-0.05575487394668954*I,30
