"q","mu1","mu2","kurt"
0.5271708880508563,1.3229514388923216+0.7207561236710772*I,0.6449016356519215-0.15584990741878707*I,30
0.35594735684866263,1.052296957995803+0.8425391973489775*I,0.7776655214612698-0.16166317473476788*I,30
0.25926209754506524,0.8881831339288879+0.8937313843049316*I,0.8418695800565772-0.14371367626641277*I,30
0.5300736379335911,1.3283688865917205+0.7181092671913925*I,0.642397624151774-0.1551471236185921*I,30
0.69149064223257,2.3950649333248144,0.43373508760672114,30
0.3510372376588655,1.0446393540447365+0.8454676280749054*I,0.7810888956417077-0.16105540321938505*I,30
0.667604594145077,1.7895189897502037+0.3588002176040452*I,0.511837001819767-0.05738734072012609*I,30
0.7021786037911459,2.7723086588771335,0.3988410455082938,30
0.660105928001574,1.7402600087337188+0.4262961801182838*I,0.5196174017023822-0.07093003701750208*I,30
0.6119923102465041,1.5263429107134476+0.6105997222379873*I,0.5676132579938536-0.1199398896046615*I,30
0.6388262984637787,1.6288225808407493-0.537017775639783*I,0.5412466999049383+0.09767955977024134*I,30
0.2927884091748192,0.9489946874154577+0.8778121985728427*I,0.8203323813782567-0.1513225538254879*I,30
0.5426222692331295,1.352599318836324+0.706168362177717*I,0.6314631588351544-0.15177420357553684*I,30
0.6689690715133261,1.7992163147428484+0.3432962780076207*I,0.5104121588844576-0.05448445825360016*I,30
0.7041538936834117,2.848570055256348,0.3929919828618853,30
0.6792805864025597,1.8814184268028835+0.13905620269795002*I,0.4995524056903953-0.020686343913171243*I,30
0.4441559085835314,1.1860822079692341+0.7855246118542686*I,0.7127325491414425-0.16610779933380282*I,30
0.6546555871790465,1.708189665936151-0.46284930037150074*I,0.525220022432546+0.07902478120198961*I,30
0.4827218050930884,1.2464286033689038+0.7574578272794976*I,0.6821012565364657-0.16347440985117978*I,30
0.46435432733097626,1.217244882155051+0.7711431830244418*I,0.6968725677890804-0.165135583512628*I,30
0.3524541261836087,1.0468538969917593-0.8446253775117463*I,0.7801029608500495+0.16123432694593223*I,30
0.4256406320197157,1.1580265067339153+0.7982094879899068*I,0.726930895033983-0.1662839832061133*I,30
0.41197509047931824,1.1374642585826593-0.8073086982515532*I,0.7372088735011808+0.16600869738132124*I,30
0.26664324090891056,0.9020360914130048+0.8904500190968011*I,0.8371884717081948-0.1455114743727435*I,30
0.30840854982385735,0.9756908812749583+0.8696302105707509*I,0.8100465529857184-0.15437563853287872*I,30
0.48309929357121617,1.247039502031479-0.7571694228142754*I,0.6817940998072424+0.16343194677748585*I,30
0.5547346294887376,1.3774391418866947+0.6937182149615373*I,0.6207368900738017-0.14796052226906511*I,30
0.4196175545499323,1.1489561725665725-0.8022459958223721*I,0.7314816339715893+0.1662036206077299*I,30
0.7238292162328965,3.8857924938616812,0.33939115175009293,30
0.5846086870284917,1.4469881942584346+0.6571872495024415*I,0.5935323301545183-0.13575462325411158*I,30
0.5104021253856263,1.292815636361284+0.7353523311983365*I,0.6591844398310129-0.1593861485296519*I,30
0.7235252602634223,3.8637117548574667,0.3401768346180414,30
0.414506079598991,1.1412688967569615+0.8056392297064164*I,0.7353179389397411-0.16608459326398312*I,30
0.7249960880241408,3.9732645414065955,0.33638330941032096,30
0.7495108477535772,8.30802883814191,0.27532792845790793,30
0.34027243083295033,1.0276752991865779+0.8517904468044011*I,0.7885289928146462-0.15960338143568603*I,30
0.49320410629136524,1.263592386811943+0.749326892725515*I,0.673517401795779-0.16216356448340127*I,30
0.3451062601832757,1.0353243929151095+0.8489681457991392*I,0.7851990764676997-0.16027553435384964*I,30
0.3578229059461495,1.0552099422338066-0.8414134912792799*I,0.7763528873048791+0.1618861790799632*I,30
0.38167280680967797,1.0917741980474192-0.8267694170100521*I,0.7594150574033776+0.16426827588565276*I,30
0.30746258601515675,0.9740995071177782+0.8701373421709805*I,0.8106742350836675-0.15419976942386304*I,30
0.7494337994741578,8.276025896856469,0.2755154441210993,30
0.2747417323885806,0.916917898141257+0.8866947937894153*I,0.8320138882358294-0.1474044943796352*I,30
0.5094955419309171,1.2912367368485755+0.7361116421605091*I,0.6599478767280293-0.1595531538739823*I,30
0.4454778657114542,1.1881001535095237+0.7846018306717445*I,0.7117065304583062-0.1660698406366236*I,30
0.37972253108951337,1.088811932253052+0.8279893051509898*I,0.7608175502836447-0.16410580123054636*I,30
0.6340933309009631,1.608281124827124-0.5533927006235568*I,0.5459693607499063+0.10228559609911203*I,30
0.565465333119703,1.4008889721866211+0.6817178162034333*I,0.6110896670188718-0.1440714429252869*I,30
0.5890352313656073,1.4585934625798367+0.6507661597456257*I,0.5894077293007587-0.13354440919308122*I,30
0.34885060996679385,1.0412137500429361+0.8467629386344133*I,0.7826073921821637-0.1607736717388143*I,30
0.7291366765225042,4.323581148547903,0.3258082210852629,30
0.25190512200857795,0.8740829029016295+0.8968554921275878*I,0.8465029097556158-0.14185299839943774*I,30
0.7497991051701121,8.430265444113958,0.27462654800993014,30
0.6939361612577675,2.4784473631965422,0.42508173290050627,30
0.629693288930484,1.5902575683593498+0.5670088741321238*I,0.5503317391986411-0.10626648387944036*I,30
0.6093248639895446,1.5177113275196599+0.6160135332955816*I,0.5701809570551656-0.12173014406132429*I,30
0.3307912489411913,1.0125077499721669+0.8572425379700821*I,0.7950092002059731-0.15819111924325469*I,30
0.38368304994029656,1.0948235241817754-0.8255079095318676*I,0.7579661276891985+0.16442956173540935*I,30
0.5351185872153352,1.3379451856050903+0.7134109975746735*I,0.63802312950861-0.15385788798922403*I,30
0.29440725231647313,0.951804642911235+0.8769840618506238*I,0.8192740653259984-0.15165363466444953*I,30
0.5409370553316335,1.3492629030084853-0.7078233973885993*I,0.632942040886564+0.1522599988281289*I,30
0.40829854502618557,1.1319380694963834-0.8097213661265835*I,0.7399455489660204+0.1658787369242271*I,30
0.2872073081050739,0.939225232087685+0.8806294776728485*I,0.8239676629104825-0.1501553148381353*I,30
0.24110263504484752,0.8528112846819484+0.9011490565283957*I,0.8532492976479515-0.13899616292524256*I,30
0.5244282128873832,1.3178913592143326+0.723221621413813*I,0.6472589152154357-0.15648848183711306*I,30
0.38806079134933746,1.1014512702141155-0.8227462893569978*I,0.7547990617542071+0.1647588768300733*I,30
0.2630875523588092,0.8953983453009404+0.8920483179225706*I,0.8394476086558929-0.14465405134949097*I,30
0.45601194031715964,1.2042797664742224+0.777159014541272*I,0.7034709589908192-0.16564065502979303*I,30
0.47276004401317806,1.2304780268748452+0.7649608186758511*I,0.6901546437264487-0.1644719483058338*I,30
0.719209388978981,3.577675033638225,0.35143943766014746,30
0.7138317506439891,3.2789624576674483,0.36580395051428377,30
0.7403253207650409,5.778266304702815,0.2978338678423659,30
0.4032084628581478,1.1242850223355596-0.8130377202078156*I,0.7437147748767251+0.1656608201771023*I,30
0.35849437768246695,1.0562512812245837+0.841009528713406*I,0.775882272722252-0.16196478007349624*I,30
0.5377476797193497,1.3430213865071798+0.7109097726091167*I,0.6357320073340661-0.15315091482049187*I,30
0.32887284601389877,1.0094103219200257+0.8583316939828555*I,0.7963122567211977-0.1578904102951221*I,30
0.4693367740397898,1.2250660898097492+0.7674940830135354*I,0.6928990392660418-0.16476140883623766*I,30
0.7173404281302145,3.467566841339283,0.35638555214771295,30
0.5497661428689196,1.3670584291439394+0.6989503983700368*I,0.6251575055440718-0.1495951397019125*I,30
0.5188889771713507,1.307835301692078+0.7281031388989269*I,0.6519943596851056-0.15770489079379715*I,30
0.6938921316457074,2.476942369069849,0.42523285812054035,30
0.6680904079304033,1.7929436442854874+0.35342714242426304*I,0.5113300185741754-0.05637361975997342*I,30
0.7059297768886721,2.9198827579080415,0.3878359574202188,30
0.40223286537160874,1.1228175509651557+0.8136702171141318*I,0.7444346229780795-0.1656140762841423*I,30
0.38260205742699926,1.093184264419199+0.8261867934653421*I,0.7587456971480483-0.1643436142458401*I,30
0.32474987006698464,1.0027188536547926+0.8606558745068618*I,0.7991036010776301-0.1572272774995913*I,30
0.3712742738355381,1.0759294421099002+0.833228058615736*I,0.7668566834256209-0.16333462739697202*I,30
0.5934690825213831,1.4706367131644145-0.6439784095694817*I,0.585251444056678+0.13120885500390475*I,30
0.7010327899186117,2.7293674149074234,0.4022962243354994,30
0.6632421931847874,1.760078048306724+0.4010801973429985*I,0.5163735507990208-0.06568012679976291*I,30
0.584197969536159,1.445931422640168+0.6577664547587688*I,0.593913781898587-0.13595379739536054*I,30
0.2632431841720182,0.8956902471252894+0.8919790339670206*I,0.8393488878961946-0.14469191604554385*I,30
0.674205675577074,1.8388523751464776+0.26788500221328215*I,0.5049175673094681-0.041200846861844685*I,30
0.5189649761387052,1.307971856730163-0.7280370068883241*I,0.6519296177246179+0.15768885122570822*I,30
0.5656705214567679,1.4013523417635565+0.681477871246978*I,0.6109038530648964-0.1439920385268381*I,30
0.39025360567704537,1.1047652051623853+0.8213555680036396*I,0.753206606947053-0.16491243040793374*I,30
0.5513674187965785,1.3703735179579368+0.6972843253666507*I,0.6237359645133673-0.14907928600986245*I,30
0.48883553661269796,1.256387020531429+0.7527472492724533*I,0.6771085911080179-0.16274346189383576*I,30
0.6122767574796335,1.527277001213502-0.610007897412645*I,0.567338889984303+0.11974528335072357*I,30
0.506021460102724,1.2852287673114622+0.7389963692119335*I,0.6628652209435383-0.16017129581154654*I,30
0.5108435070519668,1.293586048896532+0.7349816468771427*I,0.6588124296281926-0.15930397682208425*I,30
